"""","   R89_自動車整備業_事業所数","   R89_自動車整備業_従業者数"," R90_機械等修理業_事業所数"," R90_機械等修理業_従業者数","  R91 職業紹介・_労働者派遣業_事業所数","  R91 職業紹介・_労働者派遣業_従業者数","R92 その他の事業_サービス業_事業所数","R92 その他の事業_サービス業_従業者数","R93 政治･経済_･文化団体_事業所数","R93 政治･経済_･文化団体_従業者数"
"総 数","697.0","2526.0","190.0","889.0","77.0","1316.0","487.0","9828.0","478.0","2121.0"
"","","","","","","","","","",""
"  和歌山市","231.0","966.0","92.0","572.0","38.0","795.0","238.0","5584.0","222.0","1150.0"
"  海 南 市","29.0","107.0","4.0","53.0","6.0","29.0","22.0","353.0","24.0","139.0"
"  橋 本 市","44.0","169.0","11.0","60.0","1.0","5.0","22.0","521.0","17.0","76.0"
"  有 田 市","25.0","110.0","6.0","13.0","1.0","8.0","15.0","242.0","10.0","26.0"
"  御 坊 市","25.0","117.0","2.0","2.0","3.0","47.0","23.0","173.0","25.0","48.0"
"  田 辺 市","68.0","240.0","30.0","82.0","8.0","63.0","42.0","1182.0","51.0","222.0"
"  新 宮 市","27.0","89.0","11.0","21.0","4.0","106.0","21.0","301.0","25.0","73.0"
"  紀の川市","43.0","113.0","8.0","29.0","3.0","33.0","10.0","93.0","20.0","76.0"
"  岩 出 市","21.0","85.0","6.0","17.0","2.0","68.0","11.0","155.0","10.0","25.0"
"","","","","","","","","","",""
"  紀美野町","12.0","33.0","2.0","4.0","1.0","5.0","4.0","60.0","3.0","8.0"
"","","","","","","","","","",""
"  かつらぎ町","22.0","51.0","1.0","1.0","1.0","3.0","5.0","76.0","4.0","12.0"
"  九度山町","2.0","5.0","1.0","1.0","-","-","1.0","6.0","2.0","26.0"
"  高 野 町","-","-","3.0","5.0","-","-","2.0","8.0","3.0","26.0"
"","","","","","","","","","",""
"  湯 浅 町","10.0","26.0","-","-","-","-","8.0","57.0","16.0","46.0"
"  広 川 町","5.0","23.0","-","-","-","-","2.0","44.0","2.0","4.0"
"  有田川町","37.0","115.0","2.0","2.0","2.0","6.0","4.0","151.0","5.0","24.0"
"","","","","","","","","","",""
"  美 浜 町","5.0","9.0","1.0","2.0","1.0","9.0","3.0","16.0","1.0","4.0"
"  日 高 町","8.0","22.0","-","-","1.0","8.0","4.0","36.0","1.0","4.0"
"  由 良 町","6.0","15.0","1.0","2.0","-","-","2.0","7.0","1.0","4.0"
"  印 南 町","5.0","14.0","-","-","-","-","2.0","2.0","2.0","4.0"
"  みなべ町","6.0","24.0","1.0","2.0","1.0","3.0","2.0","3.0","2.0","8.0"
"  日高川町","9.0","23.0","1.0","2.0","-","-","2.0","3.0","5.0","9.0"
"","","","","","","","","","",""
"  白 浜 町","8.0","17.0","2.0","7.0","3.0","125.0","15.0","290.0","9.0","38.0"
"  上富田町","13.0","61.0","-","-","-","-","4.0","16.0","3.0","8.0"
"  すさみ町","3.0","7.0","1.0","2.0","-","-","1.0","1.0","1.0","2.0"
"","","","","","","","","","",""
"  那智勝浦町","13.0","30.0","2.0","4.0","-","-","10.0","352.0","1.0","3.0"
"  太 地 町","1.0","3.0","-","-","-","-","1.0","7.0","1.0","-"
"  古座川町","2.0","5.0","-","-","-","-","2.0","9.0","2.0","4.0"
"  北 山 村","-","-","-","-","-","-","-","-","1.0","2.0"
"  串 本 町","17.0","47.0","2.0","6.0","1.0","3.0","9.0","80.0","9.0","50.0"
