""""," E19_ ゴム製品製造業_事業所数"," E19_ ゴム製品製造業_従業者数"," E20 なめし革･同 製品･毛皮製造業_事業所数"," E20 なめし革･同 製品･毛皮製造業_従業者数"," E21 窯業･土石_  　製品製造業_事業所数"," E21 窯業･土石_  　製品製造業_従業者数","   E22_ 鉄 鋼 業_事業所数","   E22_ 鉄 鋼 業_従業者数","   E23_ 非鉄金属製造業_事業所数","   E23_ 非鉄金属製造業_従業者数"
"総 数","23.0","976.0","23.0","162.0","161.0","1783.0","75.0","4607.0","20.0","553.0"
"","","","","","","","","","",""
"  和歌山市","5.0","41.0","13.0","98.0","37.0","568.0","35.0","3138.0","10.0","273.0"
"  海 南 市","4.0","30.0","1.0","2.0","5.0","43.0","7.0","1130.0","1.0","3.0"
"  橋 本 市","1.0","20.0","2.0","4.0","12.0","199.0","3.0","15.0","-","-"
"  有 田 市","3.0","481.0","-","-","4.0","24.0","4.0","15.0","2.0","11.0"
"  御 坊 市","1.0","30.0","-","-","6.0","42.0","1.0","2.0","-","-"
"  田 辺 市","2.0","59.0","1.0","2.0","15.0","76.0","6.0","16.0","2.0","88.0"
"  新 宮 市","-","-","-","-","6.0","43.0","3.0","5.0","-","-"
"  紀の川市","3.0","218.0","1.0","38.0","15.0","167.0","3.0","56.0","-","-"
"  岩 出 市","2.0","72.0","-","-","7.0","105.0","1.0","23.0","1.0","5.0"
"","","","","","","","","","",""
"  紀美野町","-","-","-","-","3.0","54.0","1.0","43.0","-","-"
"","","","","","","","","","",""
"  かつらぎ町","-","-","-","-","3.0","53.0","-","-","-","-"
"  九度山町","-","-","-","-","-","-","-","-","-","-"
"  高 野 町","-","-","-","-","2.0","16.0","-","-","-","-"
"","","","","","","","","","",""
"  湯 浅 町","-","-","-","-","2.0","42.0","-","-","-","-"
"  広 川 町","-","-","-","-","2.0","39.0","3.0","48.0","-","-"
"  有田川町","-","-","-","-","7.0","30.0","2.0","41.0","3.0","91.0"
"","","","","","","","","","",""
"  美 浜 町","-","-","-","-","-","-","-","-","-","-"
"  日 高 町","-","-","-","-","4.0","40.0","-","-","-","-"
"  由 良 町","-","-","-","-","2.0","12.0","-","-","-","-"
"  印 南 町","-","-","1.0","4.0","1.0","5.0","1.0","1.0","-","-"
"  みなべ町","-","-","1.0","5.0","3.0","24.0","1.0","5.0","-","-"
"  日高川町","-","-","-","-","4.0","44.0","-","-","-","-"
"","","","","","","","","","",""
"  白 浜 町","-","-","1.0","3.0","3.0","57.0","1.0","2.0","-","-"
"  上富田町","1.0","23.0","-","-","6.0","22.0","2.0","65.0","1.0","82.0"
"  すさみ町","1.0","2.0","-","-","3.0","15.0","-","-","-","-"
"","","","","","","","","","",""
"  那智勝浦町","-","-","-","-","3.0","23.0","-","-","-","-"
"  太 地 町","-","-","-","-","-","-","-","-","-","-"
"  古座川町","-","-","-","-","2.0","16.0","-","-","-","-"
"  北 山 村","-","-","-","-","-","-","-","-","-","-"
"  串 本 町","-","-","2.0","6.0","4.0","24.0","1.0","2.0","-","-"
