"""","   E24_ 金属製品製造業_事業所数","   E24_ 金属製品製造業_従業者数","E25 はん用機械器具製造業_事業所数","E25 はん用機械器具製造業_従業者数","E26 生産用機械_器具製造業_事業所数","E26 生産用機械_器具製造業_従業者数","E27 業務用機械_器具製造業_事業所数","E27 業務用機械_器具製造業_従業者数","E28 電子部品･ﾃﾞﾊﾞ_ｲｽ･電子回路製造業_事業所数","E28 電子部品･ﾃﾞﾊﾞ_ｲｽ･電子回路製造業_従業者数"
"総 数","345.0","4744.0","98.0","2790.0","188.0","3898.0","25.0","1130.0","16.0","1191.0"
"","","","","","","","","","",""
"  和歌山市","139.0","1917.0","59.0","1981.0","96.0","2286.0","12.0","620.0","7.0","579.0"
"  海 南 市","17.0","385.0","3.0","27.0","6.0","94.0","-","-","1.0","92.0"
"  橋 本 市","16.0","287.0","4.0","33.0","14.0","123.0","2.0","43.0","-","-"
"  有 田 市","16.0","99.0","2.0","42.0","4.0","24.0","2.0","8.0","1.0","5.0"
"  御 坊 市","12.0","117.0","1.0","23.0","1.0","54.0","1.0","112.0","1.0","71.0"
"  田 辺 市","22.0","172.0","2.0","7.0","10.0","25.0","1.0","2.0","-","-"
"  新 宮 市","4.0","8.0","-","-","3.0","12.0","-","-","-","-"
"  紀の川市","32.0","541.0","13.0","353.0","21.0","437.0","1.0","188.0","1.0","7.0"
"  岩 出 市","12.0","137.0","-","-","6.0","120.0","2.0","106.0","-","-"
"","","","","","","","","","",""
"  紀美野町","6.0","44.0","4.0","23.0","4.0","59.0","2.0","38.0","-","-"
"","","","","","","","","","",""
"  かつらぎ町","15.0","251.0","-","-","2.0","2.0","-","-","-","-"
"  九度山町","2.0","37.0","-","-","1.0","2.0","-","-","-","-"
"  高 野 町","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"  湯 浅 町","3.0","24.0","1.0","2.0","2.0","6.0","-","-","1.0","16.0"
"  広 川 町","2.0","39.0","1.0","7.0","2.0","20.0","2.0","13.0","-","-"
"  有田川町","11.0","351.0","-","-","5.0","140.0","-","-","1.0","170.0"
"","","","","","","","","","",""
"  美 浜 町","3.0","13.0","1.0","2.0","1.0","5.0","-","-","-","-"
"  日 高 町","3.0","24.0","1.0","3.0","-","-","-","-","-","-"
"  由 良 町","3.0","109.0","-","-","1.0","1.0","-","-","-","-"
"  印 南 町","2.0","64.0","-","-","3.0","41.0","-","-","2.0","249.0"
"  みなべ町","2.0","3.0","1.0","6.0","1.0","4.0","-","-","-","-"
"  日高川町","6.0","38.0","2.0","114.0","2.0","173.0","-","-","-","-"
"","","","","","","","","","",""
"  白 浜 町","4.0","6.0","1.0","11.0","2.0","261.0","-","-","-","-"
"  上富田町","3.0","39.0","1.0","123.0","-","-","-","-","-","-"
"  すさみ町","1.0","8.0","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"  那智勝浦町","6.0","22.0","-","-","-","-","-","-","1.0","2.0"
"  太 地 町","-","-","-","-","-","-","-","-","-","-"
"  古座川町","-","-","-","-","-","-","-","-","-","-"
"  北 山 村","-","-","-","-","-","-","-","-","-","-"
"  串 本 町","3.0","9.0","1.0","33.0","1.0","9.0","-","-","-","-"
