"""","   G39_情報サ－ビス業_事業所数","   G39_情報サ－ビス業_従業者数","G40 インタ－ネット附随サ－ビス業_事業所数","G40 インタ－ネット附随サ－ビス業_従業者数","G41 映像・音声・_文字情報制作業_事業所数","G41 映像・音声・_文字情報制作業_従業者数","   H42_鉄　道　業_事業所数","   H42_鉄　道　業_従業者数","   H43_道路旅客運送業_事業所数","   H43_道路旅客運送業_従業者数"
"総 数","119.0","1505.0","13.0","36.0","81.0","696.0","38.0","1584.0","140.0","3194.0"
"","","","","","","","","","",""
"  和歌山市","77.0","1310.0","6.0","19.0","33.0","344.0","18.0","997.0","47.0","1302.0"
"  海 南 市","2.0","6.0","2.0","6.0","3.0","12.0","1.0","21.0","6.0","101.0"
"  橋 本 市","6.0","7.0","1.0","1.0","5.0","5.0","5.0","230.0","7.0","144.0"
"  有 田 市","1.0","7.0","-","-","-","-","1.0","7.0","6.0","43.0"
"  御 坊 市","2.0","3.0","-","-","5.0","64.0","2.0","34.0","5.0","141.0"
"  田 辺 市","12.0","55.0","2.0","5.0","11.0","101.0","4.0","169.0","8.0","205.0"
"  新 宮 市","4.0","9.0","1.0","2.0","10.0","78.0","3.0","83.0","9.0","156.0"
"  紀の川市","5.0","14.0","-","-","1.0","9.0","-","-","5.0","246.0"
"  岩 出 市","3.0","17.0","-","-","1.0","19.0","-","-","4.0","54.0"
"","","","","","","","","","",""
"  紀美野町","-","-","-","-","-","-","-","-","2.0","43.0"
"","","","","","","","","","",""
"  かつらぎ町","1.0","4.0","-","-","-","-","-","-","2.0","63.0"
"  九度山町","-","-","-","-","-","-","-","-","-","-"
"  高 野 町","-","-","-","-","1.0","21.0","1.0","16.0","3.0","76.0"
"","","","","","","","","","",""
"  湯 浅 町","1.0","8.0","1.0","3.0","2.0","6.0","-","-","2.0","33.0"
"  広 川 町","-","-","-","-","-","-","-","-","-","-"
"  有田川町","1.0","1.0","-","-","2.0","21.0","-","-","4.0","72.0"
"","","","","","","","","","",""
"  美 浜 町","-","-","-","-","-","-","-","-","1.0","14.0"
"  日 高 町","-","-","-","-","-","-","-","-","-","-"
"  由 良 町","-","-","-","-","-","-","-","-","3.0","40.0"
"  印 南 町","-","-","-","-","-","-","-","-","2.0","15.0"
"  みなべ町","-","-","-","-","2.0","5.0","-","-","1.0","8.0"
"  日高川町","-","-","-","-","-","-","-","-","2.0","14.0"
"","","","","","","","","","",""
"  白 浜 町","1.0","58.0","-","-","2.0","6.0","1.0","11.0","8.0","233.0"
"  上富田町","-","-","-","-","-","-","-","-","1.0","5.0"
"  すさみ町","-","-","-","-","-","-","-","-","2.0","15.0"
"","","","","","","","","","",""
"  那智勝浦町","-","-","-","-","1.0","2.0","1.0","8.0","5.0","108.0"
"  太 地 町","1.0","2.0","-","-","-","-","-","-","-","-"
"  古座川町","-","-","-","-","-","-","-","-","-","-"
"  北 山 村","-","-","-","-","-","-","-","-","-","-"
"  串 本 町","2.0","4.0","-","-","2.0","3.0","1.0","8.0","5.0","63.0"
