"""","H44_道路貨物運送業_事業所数","H44_道路貨物運送業_従業者数","H45_水運業_事業所数","H45_水運業_従業者数","H46_航空運輸業_事業所数","H46_航空運輸業_従業者数","H47_倉庫業_事業所数","H47_倉庫業_従業者数","H48_運輸に附帯_するサ－ビス業_事業所数","H48_運輸に附帯_するサ－ビス業_従業者数"
"総 数","583.0","13280.0","39.0","292.0","1.0","3.0","50.0","823.0","92.0","1456.0"
"","","","","","","","","","",""
"  和歌山市","226.0","7129.0","8.0","68.0","-","-","26.0","332.0","41.0","953.0"
"  海 南 市","31.0","1170.0","16.0","141.0","-","-","3.0","18.0","16.0","197.0"
"  橋 本 市","20.0","315.0","-","-","-","-","4.0","63.0","2.0","11.0"
"  有 田 市","25.0","294.0","-","-","-","-","-","-","1.0","2.0"
"  御 坊 市","14.0","176.0","-","-","-","-","-","-","2.0","20.0"
"  田 辺 市","52.0","708.0","2.0","22.0","-","-","3.0","7.0","4.0","20.0"
"  新 宮 市","23.0","282.0","2.0","23.0","-","-","-","-","5.0","64.0"
"  紀の川市","52.0","1060.0","-","-","-","-","2.0","9.0","1.0","2.0"
"  岩 出 市","17.0","304.0","-","-","-","-","1.0","358.0","-","-"
"","","","","","","","","","",""
"  紀美野町","4.0","19.0","-","-","-","-","-","-","1.0","28.0"
"","","","","","","","","","",""
"  かつらぎ町","15.0","353.0","-","-","-","-","1.0","4.0","-","-"
"  九度山町","3.0","28.0","-","-","-","-","-","-","-","-"
"  高 野 町","1.0","4.0","-","-","-","-","1.0","1.0","1.0","29.0"
"","","","","","","","","","",""
"  湯 浅 町","8.0","174.0","3.0","12.0","-","-","2.0","4.0","1.0","2.0"
"  広 川 町","9.0","70.0","-","-","-","-","1.0","1.0","1.0","7.0"
"  有田川町","27.0","448.0","-","-","-","-","1.0","3.0","-","-"
"","","","","","","","","","",""
"  美 浜 町","4.0","29.0","1.0","5.0","-","-","-","-","-","-"
"  日 高 町","2.0","27.0","1.0","2.0","-","-","1.0","14.0","1.0","2.0"
"  由 良 町","5.0","50.0","-","-","-","-","2.0","4.0","2.0","11.0"
"  印 南 町","4.0","48.0","-","-","-","-","-","-","-","-"
"  みなべ町","7.0","156.0","1.0","2.0","-","-","-","-","1.0","22.0"
"  日高川町","7.0","35.0","-","-","-","-","-","-","1.0","3.0"
"","","","","","","","","","",""
"  白 浜 町","2.0","15.0","2.0","12.0","1.0","3.0","-","-","4.0","51.0"
"  上富田町","12.0","246.0","-","-","-","-","1.0","1.0","-","-"
"  すさみ町","-","-","1.0","2.0","-","-","-","-","1.0","1.0"
"","","","","","","","","","",""
"  那智勝浦町","5.0","80.0","-","-","-","-","-","-","2.0","22.0"
"  太 地 町","2.0","4.0","-","-","-","-","-","-","-","-"
"  古座川町","-","-","-","-","-","-","-","-","-","-"
"  北 山 村","-","-","-","-","-","-","-","-","-","-"
"  串 本 町","6.0","56.0","2.0","3.0","-","-","1.0","4.0","4.0","9.0"
